Orden Num,Rango de error permitido,Operating Temperature,Empty or loaded,Tipo de Horno,SetPoint,Uniformidad Sup,Uniformidad Inf,Overshoot,Heat Up Time (min),Lag Time (min),Tipo de horno,Gas o eléctrico,"TUS, Passed or Failed",Tiempo de precalentamiento de horno antes de Survey (hrs),Temperatura de precalentamiento de horno antes de Survey XXoC ó XXoF,Posición del termopar,Posición del termopar de control con respecto al bafle,Posición del termopar en la carga,Tipo de probeta,Tipo de aislamiento de las paredes (sin considerar el poyo),Tipo de aislamiento del techo,Tipo de aislamiento del carro o piso,Altura del poyo de las paredes,Numero de zonas,Ubicación de las zonas,Dimensiones internas del horno. L= largo o profundo (Pulgadas),Dimensiones internas del horno. W=Ancho (Pulgadas),Dimensiones internas del horno. H=alto (Pulgadas),Dimensiones Setting de carga. L= largo o profundo (Pulgadas),Dimensiones Setting de carga. W=Ancho (Pulgadas),Dimensiones Setting de carga. H=alto (Pulgadas),Distancia del volumen de carga a Techo (pulgadas),Distancia de valumen de carga a paredes (pulgadas),Distancia de volumen de carga a piso (pulgadas),Carga humeda (después del quench),Cantidad de extracciones,Longitud de la flama del quemador,Cantidad de Quemadores,Tipo de Controlador,Resolución de tarjeta de entrada de Termopares,"Algoritmo de lectura de temperatura (Directo, promedio, ponderado, etc)","Tipo de calentamiento [Entrada Escalón, Rampa o Receta]",Trick. Low Cut back tipo Eurotherm o tipo Honeywell (Fuzzy),Trick. Low cut back tipo NB,"Trick, Apagado de quemadores","Trick, Offset ( escondido o en parámetro)","Trick, Diferentes offsets para difernetes setpoints",Trick. Bias,Tipo de Termopar de control,Tipo de control de presión,"Dispositivo para control de Presión (VFD en extractor, Dampers de corderita, Flautas de aire).",Tipo de control,Cambios de aire,Volumen del recirculador (CADA uno) (SCFH) o SCFM,Que pueda arrancar el recirculador al 100% desde Frio,"Tipo de Recirculador (centrifugo, axial, con Scroll), tipo de scroll y tipo de aspas",Cantidad de recirculadores por zona,Velocidad del aire,Velocidad Teóríca de aire en Rejillas (Toda abierta),"Patrón de flujo del aire (Horizontal, vertica down directo, vertcical down con bafle, vertical up, directo o vertical up con bafle).",Reversibilidad del flujo de aire,"Tipo de bafle [tachas, nada, rejillas ajustables, circulos fijos]",Baffle para ajustar el retorno,Porcentaje de cobertura del aire que sale del bafle con respacto a la carga (%),Venas en descarga [ver dibujo],Venas en esquinas,Venas ladronas de aire para rejillas,Venas direccionadoras,"Posicion de quemador (Antes o despues del recirculador, )",Con Rompe flamas,Tipo de tubo a la salida del quemador,longitud del tubo (Pulgadas),Distancia de la pared donde esta el quemador al centro del recirculador (Pulgadas),Quemador de tubo radiante,Posicion de la toma del Extractor,Posición de diluciones,Regulador Cross connected,Uso de Piers,"Separación entre piers . Libre de cara, el espacio libre que ve el quemador. Si es piramidal, se mide al centro en altura del quemador. (Pulgadas)",Con charola,Cantidad de extacciones de gases,Posición de las extracciones de gases,Posición de quemadores,Modo de control,Exceso de aire Variable,Flame less,Distancia entre quemadores nivel 1 Visto de planta (pulgadas),Distancia entre quemadores nivel 2 Visto de planta (pulgadas)
16-2878-1,25,950,Empty,FuegoD,950,50,25,7.75,261,599,Caja,Gas,Passed,NA,NA,"Pareed Lateral, parte media de la carga",En la zona de carga,,,Fibra,Fibra,Refractario duro,NA,2,Izquierda y derecha,154,90,69,130,66,50,7,12,12,NA,2,28,2,HC900,15,Directo,Receta,No,No,No,No,No,No,"SS 3/4"" (tipo Bickley)",Lazo Cerrado,Damper de acero,Fijo en un Valor,NA,NA,NA,NA,NA,Sin dato,Sin dato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Sin Dilución,Sí,No,NA,No,2,Lateral,"Pared Abajo, ambos lados",Proporcional,Sí,No,"78""",NA
16-2878-1,25,1050,Empty,FuegoD,1050,12,91,6.3,54,312,Caja,Gas,Passed,NA,NA,"Pareed Lateral, parte media de la carga",En la zona de carga,,,Fibra,Fibra,Refractario duro,NA,2,Izquierda y derecha,154,90,69,130,66,50,7,12,12,NA,2,28,2,HC900,15,Directo,Receta,No,No,No,No,No,No,"SS 3/4"" (tipo Bickley)",Lazo Cerrado,Damper de acero,Fijo en un Valor,NA,NA,NA,NA,NA,Sin dato,Sin dato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Sin Dilución,Sí,No,NA,No,2,Lateral,"Pared Abajo, ambos lados",Proporcional,Sí,No,78,NA
16-2878-1,25,1220,Empty,FuegoD,1220,21,193,40.75,50,3,Caja,Gas,Passed,NA,NA,"Pareed Lateral, parte media de la carga",En la zona de carga,,,Fibra,Fibra,Refractario duro,NA,2,Izquierda y derecha,154,90,69,130,66,50,7,12,12,NA,2,28,2,HC900,15,Directo,Receta,No,No,No,No,No,No,"SS 3/4"" (tipo Bickley)",Lazo Cerrado,Damper de acero,Fijo en un Valor,NA,NA,NA,NA,NA,Sin dato,Sin dato,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Sin Dilución,Sí,No,NA,No,2,Lateral,"Pared Abajo, ambos lados",Proporcional,Sí,No,78,NA
18-2995,57,1652,Empty,FuegoD,1652,1671,1632,51,6,28,Caja,Gas,Passed,12,1832,"Pareed Lateral, parte media de la carga",,NA,Envuelto en fibra,Refractario duro,,Refractario duro,26,2,Izquierda y derecha,136,152,82,108,108,56,26,22,0,NA,2,27,8,EuroTherm 3504,,Directo,Escalón,,No,NA,NA,NA,NA,"S de Funda cerámica, Tipo Bickley",Lazo Cerrado,,Proporcional a la Temp,NA,,NA,NA,,NA,,NA,NA,NA,,NA,,,,,NA,,,,,NA,NA,NA,,"Sin Piers, Con charola","Sin Piers, Con charola",,,"Atrás, abajo",De los dos lados,Pulso con exceso de aire variable,,NA,32,32
18-2995,57,1832,Empty,FuegoD,900,911,889,11,6,28,Caja,Gas,Passed,12,1832,"Pareed Lateral, parte media de la carga",,NA,Envuelto en fibra,Refractario duro,,Refractario duro,26,2,Izquierda y derecha,136,152,82,108,108,56,26,22,0,NA,2,27,8,EuroTherm 3504,,Directo,Escalón,,No,NA,NA,NA,NA,"S de Funda cerámica, Tipo Bickley",Lazo Cerrado,,Proporcional a la Temp,NA,,NA,NA,,NA,,NA,NA,NA,,NA,,,,,NA,,,,,NA,NA,NA,,"Sin Piers, Con charola","Sin Piers, Con charola",,,"Atrás, abajo",De los dos lados,Pulso con exceso de aire variable,,NA,32,32
18-2995,57,2192,Empty,FuegoD,900,911,889,11,6,28,Caja,Gas,Passed,12,1832,"Pareed Lateral, parte media de la carga",,NA,Envuelto en fibra,Refractario duro,,Refractario duro,26,2,Izquierda y derecha,136,152,82,108,108,56,26,22,0,NA,2,27,8,EuroTherm 3504,,Directo,Escalón,,No,NA,NA,NA,NA,"S de Funda cerámica, Tipo Bickley",Lazo Cerrado,,Proporcional a la Temp,NA,,NA,NA,,NA,,NA,NA,NA,,NA,,,,,NA,,,,,NA,NA,NA,,"Sin Piers, Con charola","Sin Piers, Con charola",,,"Atrás, abajo",De los dos lados,Pulso con exceso de aire variable,,NA,332,32
19-3050-A,41,428,Loaded for TUS,Rec,428,96,-14,9.54,66,9,Rotatorio,Gas,Passed,4,525,,,Puesto Manualmente aplastado entre las cargas,Sin Probeta Aplastado por la carga,Fibra,Fibra,Fibra,,1,,"177,5",,147,,,,,12,,No,1,45,2,,,Directo,Escalon,No,No,No,No,No,No,"SS 316 de 1/4""",Lazo abierto,Damper de acero,,"60,33",127000,No,Axial,1,,3.75,Vertical directo hacia arriba,No,Sin bafle,No,100%,,Sí,,,Antes,No,Salida plana,66,95,No,Sin Extractor,Sin Dilución,,,,,,,,,,,,
19-3050-B,41,977,Loaded for TUS,Rec,977,288,206,14.58,86,26,Rotatorio,Gas,Passed,4,220,,,Puesto Manualmente aplastado entre las cargas,Sin Probeta Aplastado por la carga,Fibra,Fibra,Fibra,,1,,"177,5",,143,,,,,12,,Si,1,45,2,,,Directo,Escalon,No,No,No,No,No,No,"SS 316 de 1/4""",Lazo abierto,Damper de acero,,"53,72",110000,Sí,Axial,1,,3.75,Vertical directo hacia arriba,No,Sin bafle,No,100%,,Sí,,,Antes,No,Salida plana,66,95,No,Sin Extractor,Sin Dilución,,,,,,,,,,,,
20-3083,15,900,Empty,FuegoD,900,483,453,39,76,2,Caja,Gas,Passed,12,750,,NA,NA,Probeta Ceramica,Fibra,Fibra,Refractario duro,0,4,,174,180,113,144,144,72,23,18,18,,2,26,9,HC900,,Directo,Receta,No,No,No,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo Cerrado,Damper de Corderita,Proporcional a la Temp,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,No,2,Abajo en paredes laterales,"Pared Atrás, Arriba y abajo",Pulso electronico Hi-Low,Sí,No,45,39
20-3083,15,1330,Empty,FuegoD,1330,194,164,81,29,3,Caja,Gas,Passed,12,750,,NA,NA,Probeta Ceramica,Fibra,Fibra,Refractario duro,0,4,,174,180,113,144,144,72,23,18,18,,2,26,9,HC900,,Directo,Receta,No,No,No,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo Cerrado,Damper de Corderita,Proporcional a la Temp,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,No,2,Abajo en paredes laterales,"Pared Atrás, Arriba y abajo",Pulso electronico Hi-Low,Sí,No,45,39
20-3083,20,1650,Empty,FuegoD,1650,26,-13,21,21,416,Caja,Gas,Passed,12,750,,NA,NA,Probeta Ceramica,Fibra,Fibra,Refractario duro,0,4,,174,180,113,144,144,72,23,18,18,,2,26,9,HC900,,Directo,Receta,No,No,No,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo Cerrado,Damper de Corderita,Proporcional a la Temp,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,No,2,Abajo en paredes laterales,"Pared Atrás, Arriba y abajo",Pulso electronico Hi-Low,Sí,No,45,39
20-3083,20,2000,Empty,FuegoD,2000,678,638,19,1500,243,Caja,Gas,Passed,12,750,,NA,NA,Probeta Ceramica,Fibra,Fibra,Refractario duro,0,4,,174,180,113,144,144,72,23,18,18,,2,26,9,HC900,,Directo,Receta,No,No,No,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo Cerrado,Damper de Corderita,Proporcional a la Temp,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,No,2,Abajo en paredes laterales,"Pared Atrás, Arriba y abajo",Pulso electronico Hi-Low,Sí,No,45,39
22-3200,5,160,Empty,Rec,160,5,-5,165,31,16,Caja,Gas,Passed,NA,NA,"Pareed Trasera, parte alta de la carga",En la zona de carga,NA,Sin Probeta,Fibra,Fibra,Fibra,NA,1,NA,79,74,125,60,59,110,6,7.5,0,No,1,26,1,EuroTherm 3504,,,Escalon,,,NA,,NA,,"SS 316 de 1/4""",Lazo abierto,NA,NA,"66,21",28000,Sí,Scroll,1,NA,1.4,Horizonal,No,rejillas ajustables,No,20%,No,Sí,Sí,No,Antes,No,NA,NA,55,NA,Trasera Superior,En el lateral,NA,NA,NA,NA,,,NA,Fuel Only,NA,NA,NA,NA
24-3297,41,680,Empty,Rec,680,64,46,34,89,210,Caja,Gas,Passed,NA,NA,"Pareed Lateral, parte media de la carga",En la zona de carga,NA,Probeta de Aluminio,Fibra,Fibra,Fibra,30,2,Al frente y atrás,174,112,103,145,96,96,2,8,NA,NA,1,NA,2,Siemens,16,Directo,Rampa,No,No,No,No,No,No,"Inconel 3/4"" (tipo Bickley)",Lazo abierto,Damper de acero,NA,"49,93",29000,Sí,Centrifugo,1,11.2,,Horizontal,No,circulos,No,95%,No,No,No,No,Antes,No,Salida plana,,,NA,Trasera Superior,NA,No,NA,NA,No,1,Atrás arriba,De un lado,Ratio,No,NA,55,55
